ERR2204265 10894914930
ERR3316087 10562099133
ERR3316123 9667727338
ERR3316169 9862489713
ERR3316171 11819450057
ERR3332430 8562204353
ERR3332502 7546219834
ERR4162187 16597201681
ERR4183335 6622489690
ERR4183370 7732819601
ERR4183411 11105661658
SRR11773636 49936524174
SRR16708361 4560204396
SRR22566726 8903537037
SRR22566727 13296684172
SRR25655883 11435300013
SRR25728151 3141625788
SRR25739586 2462530032
SRR25740020 3755344111
SRR25740145 11021402273
SRR25740398 29973906439
SRR25745629 12935648294
SRR25746014 6123291879
SRR25746037 5613908887
SRR25747816 19883923297
SRR25748129 22825373696
SRR25748633 38989396918
SRR25750764 25923749987
SRR27847756 4220881833
SRR6691953 6125050777
SRR25655945 51989489452
SRR25741884 50322606556
SRR25741982 57274275977
SRR25745708 71502694241
SRR25748453 53707927815
SRR28395638 92632806508
SRR28415499 53935127409
