ERR2531128 4465924892
ERR2854329 2631967591
ERR3041788 3893117054
ERR3130273 4662641232
ERR3313301 6180172619
ERR3313380 4325983786
ERR3313385 4089987446
SRR16708358 8111430187
SRR25655792 631696701
SRR25655840 700730134
SRR25740156 4956645076
SRR25748136 39641803918
SRR25748588 998865353
SRR25748598 3529334653
SRR25748609 158507833
SRR25748640 1276078549
SRR25750785 6989357693
SRR6691745 724742942
SRR6691767 1153782014
SRR6691771 833414167
SRR6691797 1071086904
SRR6691862 1643095715
SRR6691923 1492844395
SRR6691955 845171844
SRR6691973 2345589522
SRR6691977 5103618011
SRR6691978 3730009037
ERR2695071 2689028718
ERR3313278 4144728217
SRR11747792 70830834817
SRR25382982 6933993980
SRR25384206 5149405575
SRR25655853 654520303
SRR25731320 51213980613
SRR25740403 96376310942
SRR25740404 18447650828
SRR25748913 79522995030
SRR25750557 22434984542
SRR25750565 18234897971
SRR25750955 141134020257
SRR28561998 62472959324
SRR30032343 29969768929
SRR30035854 16213558545
SRR30142028 8961264478
SRR30223076 54141743118
SRR30239171 11519742378
SRR30304953 164175897742
SRR30360954 24387215919
SRR6749919 676590319
