ERR2204265	532692085	bam	illumina
ERR3316087	545601745	bam	illumina
ERR3316123	492689397	bam	illumina
ERR3316169	487761785	bam	illumina
ERR3316171	496418049	bam	illumina
ERR3332430	555627070	bam	illumina
ERR3332502	518474821	bam	illumina
ERR4162187	525990112	bam	illumina
ERR4183335	565941656	bam	illumina
ERR4183370	486129885	bam	illumina
ERR4183411	535187031	bam	illumina
SRR11773636	571531886	bam	illumina
SRR16708361	379398249	bam	illumina
SRR22566726	457479897	bam	illumina
SRR22566727	460553747	bam	illumina
SRR25655883	303447677	bam	illumina
SRR25655945	304190294	bam	illumina
SRR25728151	288906711	bam	illumina
SRR25739586	266103417	bam	illumina
SRR25740020	288248387	bam	illumina
SRR25740145	302048907	bam	illumina
SRR25740398	299304254	bam	illumina
SRR25741884	304491542	bam	illumina
SRR25741982	296894072	bam	illumina
SRR25745629	286500837	bam	illumina
SRR25745708	305630035	bam	illumina
SRR25746014	274057946	bam	illumina
SRR25746037	270876519	bam	illumina
SRR25747816	285101081	bam	illumina
SRR25748129	304238446	bam	illumina
SRR25748453	307379472	bam	illumina
SRR25748633	299073138	bam	illumina
SRR25750764	302174956	bam	illumina
SRR27847756	295370531	bam	illumina
SRR28395638	306546781	bam	illumina
SRR28415499	303777949	bam	illumina
SRR6691953	595035794	bam	illumina
ERR2204265	404705277	cram	illumina
ERR3316087	421421919	cram	illumina
ERR3316123	384767931	cram	illumina
ERR3316169	378321484	cram	illumina
ERR3316171	384080469	cram	illumina
ERR3332430	425735769	cram	illumina
ERR3332502	407294032	cram	illumina
ERR4162187	410710290	cram	illumina
ERR4183335	443515331	cram	illumina
ERR4183370	388243112	cram	illumina
ERR4183411	406149120	cram	illumina
SRR11773636	425993183	cram	illumina
SRR16708361	309333874	cram	illumina
SRR22566726	345013833	cram	illumina
SRR22566727	346839277	cram	illumina
SRR25655883	263106316	cram	illumina
SRR25655945	265941026	cram	illumina
SRR25728151	261838113	cram	illumina
SRR25739586	244636652	cram	illumina
SRR25740020	261921827	cram	illumina
SRR25740145	266599752	cram	illumina
SRR25740398	263444933	cram	illumina
SRR25741884	265746986	cram	illumina
SRR25741982	264654919	cram	illumina
SRR25745629	262958796	cram	illumina
SRR25745708	266488257	cram	illumina
SRR25746014	247676039	cram	illumina
SRR25746037	244555576	cram	illumina
SRR25747816	262332042	cram	illumina
SRR25748129	264673873	cram	illumina
SRR25748453	266234116	cram	illumina
SRR25748633	263232529	cram	illumina
SRR25750764	265289440	cram	illumina
SRR27847756	261159747	cram	illumina
SRR28395638	266930942	cram	illumina
SRR28415499	266194856	cram	illumina
SRR6691953	444655750	cram	illumina
ERR2204265	1145523225	fasta	illumina
ERR3316087	1145715077	fasta	illumina
ERR3316123	1145324508	fasta	illumina
ERR3316169	1145502059	fasta	illumina
ERR3316171	1146305536	fasta	illumina
ERR3332430	1145359626	fasta	illumina
ERR3332502	1144377451	fasta	illumina
ERR4162187	1147662810	fasta	illumina
ERR4183335	1144712397	fasta	illumina
ERR4183370	1145276889	fasta	illumina
ERR4183411	1145529620	fasta	illumina
ERR2204265	329786855	fasta.gz	illumina
ERR3316087	301485183	fasta.gz	illumina
ERR3316123	308594598	fasta.gz	illumina
ERR3316169	324789421	fasta.gz	illumina
ERR3316171	325046248	fasta.gz	illumina
ERR3332430	324802948	fasta.gz	illumina
ERR3332502	311554122	fasta.gz	illumina
ERR4162187	314612478	fasta.gz	illumina
ERR4183335	292972100	fasta.gz	illumina
ERR4183370	301177458	fasta.gz	illumina
ERR4183411	331383040	fasta.gz	illumina
SRR11773636	338651974	fasta.gz	illumina
SRR16708361	315019142	fasta.gz	illumina
SRR22566726	327332320	fasta.gz	illumina
SRR22566727	328369598	fasta.gz	illumina
SRR25655883	331090287	fasta.gz	illumina
SRR25655945	332080371	fasta.gz	illumina
SRR25728151	317367608	fasta.gz	illumina
SRR25739586	289758876	fasta.gz	illumina
SRR25740020	316681413	fasta.gz	illumina
SRR25740145	332818245	fasta.gz	illumina
SRR25740398	323550282	fasta.gz	illumina
SRR25741884	331128874	fasta.gz	illumina
SRR25741982	320194943	fasta.gz	illumina
SRR25745629	308502654	fasta.gz	illumina
SRR25745708	333378412	fasta.gz	illumina
SRR25746014	293408593	fasta.gz	illumina
SRR25746037	289192251	fasta.gz	illumina
SRR25747816	311760117	fasta.gz	illumina
SRR25748129	330583593	fasta.gz	illumina
