ERR2204265	382	fastq.gz	Illumina	14767543149
ERR3316087	396	fastq.gz	Illumina	14430979249
ERR3316123	357	fastq.gz	Illumina	13258673233
ERR3316169	366	fastq.gz	Illumina	13749580575
ERR3316171	438	fastq.gz	Illumina	16454626436
ERR3332430	311	fastq.gz	Illumina	11772138482
ERR3332502	276	fastq.gz	Illumina	10296149269
ERR4162187	590	fastq.gz	Illumina	22410428987
ERR4183335	261	fastq.gz	Illumina	9710771495
ERR4183370	297	fastq.gz	Illumina	11143973197
ERR4183411	417	fastq.gz	Illumina	15447508380
SRR11773636	1716	fastq.gz	Illumina	69763163455
SRR16708361	162	fastq.gz	Illumina	6572390515
SRR22566726	303	fastq.gz	Illumina	12456902493
SRR22566727	464	fastq.gz	Illumina	18605489613
SRR25655883	429	fastq.gz	Illumina	15836426700
SRR25728151	114	fastq.gz	Illumina	4256148212
SRR25739586	91	fastq.gz	Illumina	3436654149
SRR25740020	134	fastq.gz	Illumina	5027503173
SRR25740145	404	fastq.gz	Illumina	15153605302
SRR25740398	1124	fastq.gz	Illumina	42144279150
SRR25745629	469	fastq.gz	Illumina	17814559616
SRR25746014	213	fastq.gz	Illumina	7962038834
SRR25746037	193	fastq.gz	Illumina	7276548966
SRR25747816	688	fastq.gz	Illumina	26221180955
SRR25748129	836	fastq.gz	Illumina	31599428940
SRR25748633	1292	fastq.gz	Illumina	54647644270
SRR25750764	951	fastq.gz	Illumina	36362554771
SRR27847756	161	fastq.gz	Illumina	5946438437
SRR6691953	219	fastq.gz	Illumina	8634139054
SRR25655945	1923	fastq.gz	Illumina	72794461728
SRR25741884	1887	fastq.gz	Illumina	70831211850
SRR25741982	2016	fastq.gz	Illumina	76527159984
SRR25745708	2592	fastq.gz	Illumina	100027265400
SRR25748453	2000	fastq.gz	Illumina	75500662200
SRR28395638	3354	fastq.gz	Illumina	129835587679
SRR28415499	1986	fastq.gz	Illumina	75383243629
ERR2204265	408	fastq	Illumina	14767543149
ERR3316087	399	fastq	Illumina	14430979249
ERR3316123	371	fastq	Illumina	13258673233
ERR3316169	375	fastq	Illumina	13749580575
ERR3316171	451	fastq	Illumina	16454626436
ERR3332430	321	fastq	Illumina	11772138482
ERR3332502	284	fastq	Illumina	10296149269
ERR4162187	620	fastq	Illumina	22410428987
ERR4183335	265	fastq	Illumina	9710771495
ERR4183370	405	fastq	Illumina	11143973197
ERR4183411	431	fastq	Illumina	15447508380
SRR11773636	2044	fastq	Illumina	69763163455
SRR16708361	162	fastq	Illumina	6572390515
SRR22566726	311	fastq	Illumina	12456902493
SRR22566727	463	fastq	Illumina	18605489613
SRR25655883	433	fastq	Illumina	15836426700
SRR25728151	117	fastq	Illumina	4256148212
SRR25739586	89	fastq	Illumina	3436654149
SRR25740020	138	fastq	Illumina	5027503173
SRR25740145	410	fastq	Illumina	15153605302
SRR25740398	1511	fastq	Illumina	42144279150
SRR25745629	489	fastq	Illumina	17814559616
SRR25746014	214	fastq	Illumina	7962038834
SRR25746037	193	fastq	Illumina	7276548966
SRR25747816	709	fastq	Illumina	26221180955
SRR25748129	865	fastq	Illumina	31599428940
SRR25748633	1332	fastq	Illumina	54647644270
SRR25750764	990	fastq	Illumina	36362554771
SRR27847756	166	fastq	Illumina	5946438437
SRR6691953	217	fastq	Illumina	8634139054
SRR25655945	1944	fastq	Illumina	72794461728
SRR25741884	1896	fastq	Illumina	70831211850
SRR25741982	2025	fastq	Illumina	76527159984
SRR25745708	2630	fastq	Illumina	100027265400
SRR25748453	2015	fastq	Illumina	75500662200
SRR28395638	3332	fastq	Illumina	129835587679
SRR28415499	1991	fastq	Illumina	75383243629
ERR2204265	277	bam	Illumina	14767543149
ERR3316087	268	bam	Illumina	14430979249
ERR3316123	248	bam	Illumina	13258673233
ERR3316169	262	bam	Illumina	13749580575
ERR3316171	308	bam	Illumina	16454626436
ERR3332430	225	bam	Illumina	11772138482
ERR3332502	194	bam	Illumina	10296149269
ERR4162187	428	bam	Illumina	22410428987
ERR4183335	183	bam	Illumina	9710771495
ERR4183370	211	bam	Illumina	11143973197
ERR4183411	294	bam	Illumina	15447508380
SRR11773636	1313	bam	Illumina	69763163455
SRR16708361	124	bam	Illumina	6572390515
SRR22566726	240	bam	Illumina	12456902493
SRR22566727	343	bam	Illumina	18605489613
SRR25655883	292	bam	Illumina	15836426700
SRR25728151	79	bam	Illumina	4256148212
SRR25739586	63	bam	Illumina	3436654149
SRR25740020	92	bam	Illumina	5027503173
SRR25740145	283	bam	Illumina	15153605302
SRR25740398	763	bam	Illumina	42144279150
SRR25745629	328	bam	Illumina	17814559616
SRR25746014	145	bam	Illumina	7962038834
SRR25746037	135	bam	Illumina	7276548966
SRR25747816	467	bam	Illumina	26221180955
SRR25748129	595	bam	Illumina	31599428940
SRR25748633	902	bam	Illumina	54647644270
SRR25750764	675	bam	Illumina	36362554771
SRR27847756	111	bam	Illumina	5946438437
SRR6691953	167	bam	Illumina	8634139054
SRR25655945	1310	bam	Illumina	72794461728
SRR25741884	1272	bam	Illumina	70831211850
SRR25741982	1364	bam	Illumina	76527159984
SRR25745708	1823	bam	Illumina	100027265400
SRR25748453	1365	bam	Illumina	75500662200
SRR28395638	2292	bam	Illumina	129835587679
SRR28415499	1375	bam	Illumina	75383243629
ERR2204265	289	cram	Illumina	14767543149
ERR3316087	285	cram	Illumina	14430979249
ERR3316123	264	cram	Illumina	13258673233
ERR3316169	277	cram	Illumina	13749580575
ERR3316171	326	cram	Illumina	16454626436
ERR3332430	232	cram	Illumina	11772138482
